,poi_name,phone,latitude,longitude
0,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
1,SJE Store CCTV dan Elektronik Center,0838-7705-0517,-6.3711273,107.0178999
2,Electronic City SCBD (PT. Electronic City Indonesia Tbk.),(021) 1500032,-6.2265285,106.8113103
3,ELECTRONIC CITY,1 500 032,-6.3990411,106.9754179
4,E-Technology Center,0856-9887-384,-6.2810786,107.0148365
5,Electronic City,1 500 032,-6.2187468,106.9238065
6,Electronic City Green Terrace TMII,(021) 1500032,-6.3041772,106.8866953
7,Electronic City KJI Plaza,1 500 032,-6.2704052,106.8690738
8,Electronic City Cibubur,1 500 032,-6.3766498,106.9150132
9,Electronic City The Park Sawangan,1 500 032,-6.3766579,106.744835
10,Electronic City Metropolitan Mall Bekasi,1 500 032,-6.2491017,106.9898013
11,KK Centre,(021) 4357149,-6.1292437,106.910861
12,Citra Electronic Centre,(021) 5669701,-6.1681503,106.7863798
13,Electronic City Mall Taman Anggrek,1 500 032,-6.1790713,106.7925647
14,Electronics Center,(021) 44561778,-6.395185,106.792968
15,Electronic City Revo Mall Bekasi,1 500 032,-6.2542223,106.9898529
16,Electronic City Mall Lippo Cikarang,1 500 032,-6.3344909,107.1366679
17,Electronic City Kota Kasablanka,1 500 032,-6.2242215,106.8427073
18,Electronic City Ruko Ampera,,-6.2802249,106.8200895
19,Electronic City Margocity,1 500 032,-6.3739167,106.8346906
20,Bandung Electronics Center,,-6.9078216,107.6087898
21,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
22,E-Technology Center,0856-9887-384,-6.2810786,107.0148365
23,Electronic City SCBD (PT. Electronic City Indonesia Tbk.),(021) 1500032,-6.2265285,106.8113103
24,Electronic City,1 500 032,-6.2187468,106.9238065
25,Electronic City Metropolitan Mall Bekasi,1 500 032,-6.2491017,106.9898013
26,Electronic City Green Terrace TMII,(021) 1500032,-6.3041772,106.8866953
27,Electronic City KJI Plaza,1 500 032,-6.2704052,106.8690738
28,Electronic City The Park Sawangan,1 500 032,-6.3766579,106.744835
29,KK Centre,(021) 4357149,-6.1292437,106.910861
30,Electronic City Revo Mall Bekasi,1 500 032,-6.2542223,106.9898529
31,Citra Electronic Centre,(021) 5669701,-6.1681503,106.7863798
32,ELECTRONIC CITY,1 500 032,-6.3990411,106.9754179
33,Electronic City Mall Taman Anggrek,1 500 032,-6.1790713,106.7925647
34,Electronic City Cibubur,1 500 032,-6.3766498,106.9150132
35,SJE Store CCTV dan Elektronik Center,0838-7705-0517,-6.3711273,107.0178999
36,Electronics Center,(021) 44561778,-6.395185,106.792968
37,Electronic City Mall Lippo Cikarang,1 500 032,-6.3344909,107.1366679
38,PT LG Electronics R&D Center (LGERC),,-6.3171477,107.0870484
39,Electronic City Kota Kasablanka,1 500 032,-6.2242215,106.8427073
40,Electronic City Ruko Ampera,,-6.2802249,106.8200895
41,Bandung Electronics Center,,-6.9078216,107.6087898
42,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
43,Electronic City SCBD (PT. Electronic City Indonesia Tbk.),(021) 1500032,-6.2265285,106.8113103
44,E-Technology Center,0856-9887-384,-6.2810786,107.0148365
45,Electronic City,1 500 032,-6.2187468,106.9238065
46,PT LG Electronics R&D Center (LGERC),,-6.3171477,107.0870484
47,Electronic City Green Terrace TMII,(021) 1500032,-6.3041772,106.8866953
48,Electronic City Metropolitan Mall Bekasi,1 500 032,-6.2491017,106.9898013
49,Electronic City KJI Plaza,1 500 032,-6.2704052,106.8690738
50,Electronic City The Park Sawangan,1 500 032,-6.3766579,106.744835
51,KK Centre,(021) 4357149,-6.1292437,106.910861
52,Citra Electronic Centre,(021) 5669701,-6.1681503,106.7863798
53,Electronic City Mall Lippo Cikarang,1 500 032,-6.3344909,107.1366679
54,Electronic City Ruko Jababeka,1 500 032,-6.2896054,107.1719254
55,Electronic City Mall Taman Anggrek,1 500 032,-6.1790713,106.7925647
56,ELECTRONIC CITY,1 500 032,-6.3990411,106.9754179
57,SJE Store CCTV dan Elektronik Center,0838-7705-0517,-6.3711273,107.0178999
58,Electronic City Revo Mall Bekasi,1 500 032,-6.2542223,106.9898529
59,Electronics Center,(021) 44561778,-6.395185,106.792968
60,Electronic City Cibubur,1 500 032,-6.3766498,106.9150132
61,Electronic City Kota Kasablanka,1 500 032,-6.2242215,106.8427073
62,Bandung Electronics Center,,-6.9078216,107.6087898
63,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
64,E-Technology Center,0856-9887-384,-6.2810786,107.0148365
65,Electronic City,1 500 032,-6.2187468,106.9238065
66,Electronic City Metropolitan Mall Bekasi,1 500 032,-6.2491017,106.9898013
67,Electronic City SCBD (PT. Electronic City Indonesia Tbk.),(021) 1500032,-6.2265285,106.8113103
68,Makmur Elektronik Grand Wisata,0878-0402-1314,-6.2757943,107.0436705
69,Electronic City Revo Mall Bekasi,1 500 032,-6.2542223,106.9898529
70,Electronic City Green Terrace TMII,(021) 1500032,-6.3041772,106.8866953
71,Electronic City KJI Plaza,1 500 032,-6.2704052,106.8690738
72,KK Centre,(021) 4357149,-6.1292437,106.910861
73,Electronic City The Park Sawangan,1 500 032,-6.3766579,106.744835
74,Citra Electronic Centre,(021) 5669701,-6.1681503,106.7863798
75,Electronic City Mall Taman Anggrek,1 500 032,-6.1790713,106.7925647
76,Electronics Center,(021) 44561778,-6.395185,106.792968
77,Electronic City Ujung Menteng,1 500 032,-6.189715,106.9664962
78,Electronic City Cibubur,1 500 032,-6.3766498,106.9150132
79,ELECTRONIC CITY,1 500 032,-6.3990411,106.9754179
80,Electronic City Kota Kasablanka,1 500 032,-6.2242215,106.8427073
81,SJE Store CCTV dan Elektronik Center,0838-7705-0517,-6.3711273,107.0178999
82,Electronic City Ruko Ampera,,-6.2802249,106.8200895
83,PANASONIC @ELECTRONIC CITY,0812-8315-0388,-6.1897324,106.9668578
84,Electronic City Tangerang City,1 500 032,-6.1942199,106.6340057
85,Bandung Electronics Center,,-6.9078216,107.6087898
86,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
87,Electronic City SCBD (PT. Electronic City Indonesia Tbk.),(021) 1500032,-6.2265285,106.8113103
88,E-Technology Center,0856-9887-384,-6.2810786,107.0148365
89,Electronic City,1 500 032,-6.2187468,106.9238065
90,ELECTRONIC CITY,1 500 032,-6.3990411,106.9754179
91,Electronic City Green Terrace TMII,(021) 1500032,-6.3041772,106.8866953
92,SJE Store CCTV dan Elektronik Center,0838-7705-0517,-6.3711273,107.0178999
93,Electronic City The Park Sawangan,1 500 032,-6.3766579,106.744835
94,Electronic City KJI Plaza,1 500 032,-6.2704052,106.8690738
95,KK Centre,(021) 4357149,-6.1292437,106.910861
96,Electronic City Mall Lippo Cikarang,1 500 032,-6.3344909,107.1366679
97,Citra Electronic Centre,(021) 5669701,-6.1681503,106.7863798
98,Electronic City Metropolitan Mall Bekasi,1 500 032,-6.2491017,106.9898013
99,Electronic City Mall Taman Anggrek,1 500 032,-6.1790713,106.7925647
100,Electronic City Cibubur,1 500 032,-6.3766498,106.91501320
0,Uhuy Electronid,0815234213,-6.041991,106.648507
